"TIEMPO, HRS",LECTURA CABEZA,,"TIEMPOS, HRS",LECTURA LINEA,,,DATOS PARA LA MEDICIÓN,,,,"INTER TIME, HRS",INTER LECTURA CABEZA,INTER LECTURA LINEA,,"GASTO, MMPCD",,PRESIÓN CABEZA,PRESIÓN LINEA,Delta P,,,,,,,,,"GASTO PROMEDIO,  MMPCD"
4.142368801,7.177665518,,4.13069459,8.556611398,,,,,,,4.13069459,7.179144338,8.556611398,,0.749979591,,1030.802268,732.1559861,298.6462824,,,,,,,,,
4.196735776,7.181017358,,4.193883233,8.556764716,,,,,,,4.193883233,7.180841493,8.556764716,,0.75066778,,1031.289691,732.182224,299.1074669,,,,,,,,,
4.265624917,7.173792737,,4.261724666,8.542924848,,,,,,,4.261724666,7.174201769,8.542924848,,0.750334493,,1029.38342,729.8156496,299.5677707,,,,,,,,,
4.328907187,7.187434804,,4.318995012,8.565449167,,,,,,,4.318995012,7.185297988,8.565449167,,0.750997166,,1032.570144,733.6691942,298.9009494,,,,,,,,,
4.392666438,7.164941778,,4.385938041,8.55825169,,,,,,,4.385938041,7.167315426,8.55825169,,0.744692697,,1027.408208,732.4367199,294.9714884,,,,,,,,,
4.44614278,7.173735391,,4.447826115,8.566011297,,,,,,,4.447826115,7.173168738,8.566011297,,0.745770832,,1029.086995,733.7654954,295.3214996,,,,,,,,,
4.510401424,7.152104322,,4.50940628,8.574974172,,,,,,,4.50940628,7.152439312,8.574974172,,0.735351344,,1023.147762,735.3018206,287.8459416,,,,,,,,,
4.578132244,7.156827473,,4.575257306,8.575733504,,,,,,,4.575257306,7.156626991,8.575733504,,0.73699281,,1024.346198,735.4320512,288.9141466,,,,,,,,,
4.636432525,7.155684349,,4.634050093,8.570147585,,,,,,,4.634050093,7.155731063,8.570147585,,0.737632133,,1024.089741,734.4742962,289.6154446,,,,,,,,,
4.704013067,7.160449607,,4.698606832,8.549884751,,,,,,,4.698606832,7.160068401,8.549884751,,0.743136031,,1025.33159,731.0052926,294.3262975,,,,,,,,,
4.762145588,7.160525122,,4.758729933,8.566294864,,,,,,,4.758729933,7.160520685,8.566294864,,0.740364457,,1025.461129,733.814077,291.6470524,,,,,,,,,
4.825915497,7.150312272,,4.823457437,8.574897552,,,,,,,4.823457437,7.150705934,8.574897552,,0.734628152,,1022.651907,735.2886803,287.3632269,,,,,,,,,
4.892388171,7.161816711,,4.887317494,8.562160558,,,,,,,4.887317494,7.160939128,8.562160558,,0.741290702,,1025.580984,733.1059342,292.4750497,,,,,,,,,
